"fips" "longitude" "latitude"
"729" 17001 -91.1859893798828 39.9867820739746
"785" 17003 -89.3334655761719 37.1741256713867
"841" 17005 -89.4332656860352 38.8819808959961
"897" 17007 -88.8234329223633 42.3235015869141
"953" 17009 -90.7505187988281 39.9643821716309
"1009" 17011 -89.5388946533203 41.3990097045898
"1065" 17013 -90.6748275756836 39.192325592041
"1121" 17015 -89.9477081298828 42.0705490112305
"1177" 17017 -90.254524230957 39.9715003967285
"1233" 17019 -88.1988525390625 40.1399078369141
"1289" 17021 -89.2792587280273 39.5467224121094
"1345" 17023 -87.7901458740234 39.3284225463867
"1401" 17025 -88.4850158691406 38.7551498413086
"1457" 17027 -89.4279403686523 38.6110305786133
"1513" 17029 -88.2170867919922 39.5196151733398
"1569" 17031 -87.8207092285156 41.829719543457
"1625" 17033 -87.7538070678711 39.0006561279297
"1681" 17035 -88.2351303100586 39.2765045166016
"1737" 17037 -88.768440246582 41.8935356140137
"1793" 17039 -88.9025192260742 40.1738243103027
"1849" 17041 -88.2178192138672 39.769702911377
"1905" 17043 -88.087532043457 41.846305847168
"1961" 17045 -87.7443237304688 39.6793823242188
"2017" 17047 -88.0607681274414 38.4186058044434
"2073" 17049 -88.5869445800781 39.0616493225098
"2129" 17051 -89.0124435424805 38.9921455383301
"2185" 17053 -88.2236404418945 40.5970993041992
"2241" 17055 -88.9318923950195 37.9923553466797
"2297" 17057 -90.2007064819336 40.4843597412109
"2353" 17059 -88.2292098999023 37.7562446594238
"2409" 17061 -90.3909072875977 39.3574142456055
"2465" 17063 -88.4196243286133 41.2859191894531
"2521" 17065 -88.538948059082 38.0815620422363
"2577" 17067 -91.1621398925781 40.404857635498
"2633" 17069 -88.2698974609375 37.5144462585449
"2689" 17071 -90.9261245727539 40.8177871704102
"2745" 17073 -90.1378021240234 41.3566513061523
"2801" 17075 -87.8248062133789 40.7471923828125
"2857" 17077 -89.3896789550781 37.7741012573242
"2913" 17079 -88.1502456665039 39.0137748718262
"2969" 17081 -88.9228744506836 38.3006553649902
